Model,Convenient Name,Path
Qwen/Qwen2.5-7B,Qwen2.5-7B,/mnt/rds/VipinRDS/VipinRDS/users/mxh1029/llms/hub/models--Qwen--Qwen2.5-7B/snapshots/d149729398750b98c0af14eb82c78cfe92750796
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-it,/mnt/rds/VipinRDS/VipinRDS/users/mxh1029/llms/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/bb46c15ee4bb56c5b63245ef50fd7637234d6f75
Qwen/Qwen2.5-14B,Qwen2.5-14B,/mnt/rds/VipinRDS/VipinRDS/users/mxh1029/llms/hub/models--Qwen--Qwen2.5-14B/snapshots/97e1e76335b7017d8f67c08a19d103c0504298c9
Qwen/Qwen2.5-14B-Instruct,Qwen2.5-14B-it,/mnt/rds/VipinRDS/VipinRDS/users/mxh1029/llms/hub/models--Qwen--Qwen2.5-14B-Instruct/snapshots/cf98f3b3bbb457ad9e2bb7baf9a0125b6b88caa8
Qwen/Qwen2.5-72B,Qwen2.5-72B,/mnt/rds/VipinRDS/VipinRDS/users/mxh1029/llms/hub/models--Qwen--Qwen2.5-72B/snapshots/efba10c8e54e91e0d9570ab5f7b51a958474d4cb
Qwen/Qwen2.5-72B-Instruct,Qwen2.5-72B-it,/mnt/rds/VipinRDS/VipinRDS/users/mxh1029/llms/hub/models--Qwen--Qwen2.5-72B-Instruct/snapshots/d3d951150c1e5848237cd6a7ad11df4836aee842
Qwen/Qwen2.5-Math-1.5B,Qwen2.5-Math-1.5B,/mnt/rds/VipinRDS/VipinRDS/users/mxh1029/llms/hub/models--Qwen--Qwen2.5-Math-1.5B/snapshots/4a83ca6e4526a4f2da3aa259ec36c259f66b2ab2
Qwen/Qwen2.5-Math-1.5B-Instruct,Qwen2.5-Math-1.5B-it,/mnt/rds/VipinRDS/VipinRDS/users/mxh1029/llms/hub/models--Qwen--Qwen2.5-Math-1.5B-Instruct/snapshots/aafeb0fc6f22cbf0eaeed126eff8be45b0360a35
Qwen/Qwen2.5-Math-7B-Instruct,Qwen2.5-Math-7B-it,/mnt/rds/VipinRDS/VipinRDS/users/mxh1029/llms/hub/models--Qwen--Qwen2.5-Math-7B-Instruct/snapshots/ef9926d75ab1d54532f6a30dd5e760355eb9aa4d
Qwen/Qwen2.5-Math-72B,Qwen2.5-Math-72B,/mnt/rds/VipinRDS/VipinRDS/users/mxh1029/llms/hub/models--Qwen--Qwen2.5-Math-72B/snapshots/b3fd85a64ec2691b67c07ef45de24dcb04e25e5c
Qwen/Qwen2.5-Math-72B-Instruct,Qwen2.5-Math-72B-it,/mnt/rds/VipinRDS/VipinRDS/users/mxh1029/llms/hub/models--Qwen--Qwen2.5-Math-72B-Instruct/snapshots/8fcf92b1eac8eca48c3d49778ad3dd1b394c9a17
